"Index Name","Date","P/E","P/B","Div Yield %"
"NIFTY MIDCAP 150","10 May 2024","34.67","4.74",".73"
"NIFTY MIDCAP 150","09 May 2024","34.46","4.69",".74"
"NIFTY MIDCAP 150","08 May 2024","35.07","4.78",".75"
"NIFTY MIDCAP 150","07 May 2024","34.93","4.75",".75"
"NIFTY MIDCAP 150","06 May 2024","35.64","4.84",".72"
"NIFTY MIDCAP 150","03 May 2024","35.87","4.87",".71"
"NIFTY MIDCAP 150","02 May 2024","35.95","4.87",".71"
"NIFTY MIDCAP 150","30 Apr 2024","35.49","4.85",".71"
"NIFTY MIDCAP 150","29 Apr 2024","35.48","4.84",".72"
"NIFTY MIDCAP 150","26 Apr 2024","35.45","4.82",".72"
"NIFTY MIDCAP 150","25 Apr 2024","35.16","4.81",".72"
"NIFTY MIDCAP 150","24 Apr 2024","35.04","4.8",".72"
"NIFTY MIDCAP 150","23 Apr 2024","34.75","4.76",".73"
"NIFTY MIDCAP 150","22 Apr 2024","34.43","4.71",".74"
"NIFTY MIDCAP 150","19 Apr 2024","34.22","4.68",".74"
"NIFTY MIDCAP 150","18 Apr 2024","34.38","4.7",".73"
"NIFTY MIDCAP 150","16 Apr 2024","34.5","4.72",".74"
"NIFTY MIDCAP 150","15 Apr 2024","34.55","4.72",".74"
"NIFTY MIDCAP 150","12 Apr 2024","35.02","4.79",".73"
"NIFTY MIDCAP 150","10 Apr 2024","35.19","4.95","0.73"
"NIFTY MIDCAP 150","09 Apr 2024","34.95","4.91","0.73"
"NIFTY MIDCAP 150","08 Apr 2024","35.04","4.92","0.73"
"NIFTY MIDCAP 150","05 Apr 2024","34.96","4.91","0.74"
"NIFTY MIDCAP 150","04 Apr 2024","34.80","4.88","0.74"
"NIFTY MIDCAP 150","03 Apr 2024","34.78","4.88","0.74"
"NIFTY MIDCAP 150","02 Apr 2024","34.62","4.86","0.72"
"NIFTY MIDCAP 150","01 Apr 2024","34.24","4.81","0.73"
"NIFTY MIDCAP 150","28 Mar 2024","33.63","4.72","0.78"
"NIFTY MIDCAP 150","27 Mar 2024","26.74","4.34","0.87"
"NIFTY MIDCAP 150","26 Mar 2024","26.71","4.34","0.88"
"NIFTY MIDCAP 150","22 Mar 2024","26.46","4.30","0.89"
"NIFTY MIDCAP 150","21 Mar 2024","26.30","4.27","0.88"
"NIFTY MIDCAP 150","20 Mar 2024","25.72","4.18","0.90"
"NIFTY MIDCAP 150","19 Mar 2024","25.74","4.18","0.90"
"NIFTY MIDCAP 150","18 Mar 2024","26.03","4.23","0.89"
"NIFTY MIDCAP 150","15 Mar 2024","26.09","4.24","0.87"
"NIFTY MIDCAP 150","14 Mar 2024","26.17","4.25","0.87"
"NIFTY MIDCAP 150","13 Mar 2024","25.62","4.16","0.89"
"NIFTY MIDCAP 150","12 Mar 2024","26.74","4.34","0.85"
"NIFTY MIDCAP 150","11 Mar 2024","27.08","4.40","0.84"
"NIFTY MIDCAP 150","07 Mar 2024","27.21","4.42","0.84"
"NIFTY MIDCAP 150","06 Mar 2024","27.14","4.41","0.84"
"NIFTY MIDCAP 150","05 Mar 2024","27.31","4.44","0.84"
"NIFTY MIDCAP 150","04 Mar 2024","27.38","4.45","0.83"
"NIFTY MIDCAP 150","02 Mar 2024","27.35","4.44","0.83"
"NIFTY MIDCAP 150","01 Mar 2024","27.17","4.41","0.84"
"NIFTY MIDCAP 150","29 Feb 2024","26.96","4.38","0.85"
"NIFTY MIDCAP 150","28 Feb 2024","26.83","4.36","0.85"
"NIFTY MIDCAP 150","27 Feb 2024","27.32","4.44","0.84"
"NIFTY MIDCAP 150","26 Feb 2024","27.36","4.44","0.81"
"NIFTY MIDCAP 150","23 Feb 2024","27.44","4.46","0.84"
"NIFTY MIDCAP 150","22 Feb 2024","27.34","4.44","0.84"
"NIFTY MIDCAP 150","21 Feb 2024","27.13","4.41","0.86"
"NIFTY MIDCAP 150","20 Feb 2024","27.42","4.46","0.85"
"NIFTY MIDCAP 150","19 Feb 2024","27.48","4.46","0.82"
"NIFTY MIDCAP 150","16 Feb 2024","27.35","4.44","0.86"
"NIFTY MIDCAP 150","15 Feb 2024","27.15","4.41","0.84"
"NIFTY MIDCAP 150","14 Feb 2024","26.87","4.37","0.85"
"NIFTY MIDCAP 150","13 Feb 2024","26.67","4.33","0.86"
"NIFTY MIDCAP 150","12 Feb 2024","26.76","4.32","0.86"
"NIFTY MIDCAP 150","09 Feb 2024","27.62","4.42","0.84"
"NIFTY MIDCAP 150","08 Feb 2024","27.94","4.46","0.85"
"NIFTY MIDCAP 150","07 Feb 2024","27.98","4.47","0.84"
"NIFTY MIDCAP 150","06 Feb 2024","27.83","4.44","0.81"
"NIFTY MIDCAP 150","05 Feb 2024","27.71","4.39","0.83"
"NIFTY MIDCAP 150","02 Feb 2024","27.53","4.39","0.82"
"NIFTY MIDCAP 150","01 Feb 2024","27.36","4.37","0.82"
"NIFTY MIDCAP 150","31 Jan 2024","27.50","4.39","0.82"
"NIFTY MIDCAP 150","30 Jan 2024","26.28","4.33","0.83"
"NIFTY MIDCAP 150","29 Jan 2024","26.68","4.34","0.83"
"NIFTY MIDCAP 150","25 Jan 2024","26.49","4.28","0.85"
"NIFTY MIDCAP 150","24 Jan 2024","26.88","4.30","0.85"
"NIFTY MIDCAP 150","23 Jan 2024","26.55","4.23","0.86"
"NIFTY MIDCAP 150","20 Jan 2024","27.37","4.36","0.84"
"NIFTY MIDCAP 150","19 Jan 2024","27.31","4.34","0.84"
"NIFTY MIDCAP 150","18 Jan 2024","26.93","4.28","0.85"
"NIFTY MIDCAP 150","17 Jan 2024","27.01","4.28","0.85"
"NIFTY MIDCAP 150","16 Jan 2024","27.30","4.32","0.84"
"NIFTY MIDCAP 150","15 Jan 2024","27.39","4.34","0.84"
"NIFTY MIDCAP 150","12 Jan 2024","27.26","4.32","0.84"
"NIFTY MIDCAP 150","11 Jan 2024","27.16","4.30","0.85"
"NIFTY MIDCAP 150","10 Jan 2024","27.05","4.28","0.85"
"NIFTY MIDCAP 150","09 Jan 2024","26.98","4.27","0.85"
"NIFTY MIDCAP 150","08 Jan 2024","26.93","4.26","0.85"
"NIFTY MIDCAP 150","05 Jan 2024","27.16","4.30","0.85"
"NIFTY MIDCAP 150","04 Jan 2024","27.07","4.29","0.85"
"NIFTY MIDCAP 150","03 Jan 2024","26.68","4.22","0.86"
"NIFTY MIDCAP 150","02 Jan 2024","26.62","4.21","0.86"
"NIFTY MIDCAP 150","01 Jan 2024","26.66","4.22","0.86"
"NIFTY MIDCAP 150","29 Dec 2023","26.51","4.20","0.87"
"NIFTY MIDCAP 150","28 Dec 2023","26.36","4.16","0.88"
"NIFTY MIDCAP 150","27 Dec 2023","26.24","4.14","0.89"
"NIFTY MIDCAP 150","26 Dec 2023","26.14","4.12","0.89"
"NIFTY MIDCAP 150","22 Dec 2023","25.99","4.10","0.90"
"NIFTY MIDCAP 150","21 Dec 2023","25.78","4.07","0.90"
"NIFTY MIDCAP 150","20 Dec 2023","25.42","4.01","0.92"
"NIFTY MIDCAP 150","19 Dec 2023","26.21","4.14","0.89"
"NIFTY MIDCAP 150","18 Dec 2023","26.32","4.15","0.88"
"NIFTY MIDCAP 150","15 Dec 2023","26.23","4.14","0.89"
"NIFTY MIDCAP 150","14 Dec 2023","26.18","4.13","0.89"
"NIFTY MIDCAP 150","13 Dec 2023","25.89","4.09","0.89"
"NIFTY MIDCAP 150","12 Dec 2023","25.67","4.05","0.90"
"NIFTY MIDCAP 150","11 Dec 2023","25.78","4.07","0.90"
"NIFTY MIDCAP 150","08 Dec 2023","25.61","4.04","0.90"
"NIFTY MIDCAP 150","07 Dec 2023","25.66","4.05","0.90"
"NIFTY MIDCAP 150","06 Dec 2023","25.52","4.03","0.91"
"NIFTY MIDCAP 150","05 Dec 2023","25.48","4.02","0.91"
"NIFTY MIDCAP 150","04 Dec 2023","25.38","4.01","0.91"
"NIFTY MIDCAP 150","01 Dec 2023","25.07","3.96","0.92"
"NIFTY MIDCAP 150","30 Nov 2023","24.85","3.92","0.93"
"NIFTY MIDCAP 150","29 Nov 2023","24.66","3.89","0.94"
"NIFTY MIDCAP 150","28 Nov 2023","24.50","3.87","0.94"
"NIFTY MIDCAP 150","24 Nov 2023","24.40","3.85","0.95"
"NIFTY MIDCAP 150","23 Nov 2023","24.35","3.84","0.94"
"NIFTY MIDCAP 150","22 Nov 2023","24.33","3.84","0.96"
"NIFTY MIDCAP 150","21 Nov 2023","24.28","3.83","0.96"
"NIFTY MIDCAP 150","20 Nov 2023","24.27","3.83","1.00"
"NIFTY MIDCAP 150","17 Nov 2023","24.27","3.83","1.00"
"NIFTY MIDCAP 150","16 Nov 2023","24.15","3.82","1.01"
"NIFTY MIDCAP 150","15 Nov 2023","23.96","3.79","1.01"
"NIFTY MIDCAP 150","13 Nov 2023","24.12","3.76","1.01"
"NIFTY MIDCAP 150","12 Nov 2023","24.41","3.76","0.99"
"NIFTY MIDCAP 150","10 Nov 2023","24.25","3.73","1.00"
"NIFTY MIDCAP 150","09 Nov 2023","24.02","3.72","0.97"
"NIFTY MIDCAP 150","08 Nov 2023","24.16","3.72","0.97"
"NIFTY MIDCAP 150","07 Nov 2023","24.91","3.69","0.98"
"NIFTY MIDCAP 150","06 Nov 2023","25.00","3.68","1.01"
"NIFTY MIDCAP 150","03 Nov 2023","25.25","3.64","1.02"
"NIFTY MIDCAP 150","02 Nov 2023","25.08","3.58","1.03"
"NIFTY MIDCAP 150","01 Nov 2023","24.97","3.53","1.04"
"NIFTY MIDCAP 150","31 Oct 2023","25.08","3.54","1.04"
"NIFTY MIDCAP 150","30 Oct 2023","25.23","3.53","1.04"
"NIFTY MIDCAP 150","27 Oct 2023","25.26","3.53","1.04"
"NIFTY MIDCAP 150","26 Oct 2023","24.93","3.48","1.05"
"NIFTY MIDCAP 150","25 Oct 2023","25.21","3.51","1.04"
"NIFTY MIDCAP 150","23 Oct 2023","25.47","3.53","1.03"
"NIFTY MIDCAP 150","20 Oct 2023","26.21","3.63","1.00"
"NIFTY MIDCAP 150","19 Oct 2023","26.47","3.67","0.99"
"NIFTY MIDCAP 150","18 Oct 2023","26.62","3.67","0.99"
"NIFTY MIDCAP 150","17 Oct 2023","26.92","3.70","0.99"
"NIFTY MIDCAP 150","16 Oct 2023","26.81","3.68","0.99"
"NIFTY MIDCAP 150","13 Oct 2023","26.77","3.68","0.99"
"NIFTY MIDCAP 150","12 Oct 2023","26.80","3.68","0.99"
"NIFTY MIDCAP 150","11 Oct 2023","26.74","3.67","0.99"
"NIFTY MIDCAP 150","10 Oct 2023","26.60","3.65","1.00"
"NIFTY MIDCAP 150","09 Oct 2023","26.28","3.61","1.01"
"NIFTY MIDCAP 150","06 Oct 2023","26.63","3.66","1.00"
"NIFTY MIDCAP 150","05 Oct 2023","26.48","3.64","1.00"
"NIFTY MIDCAP 150","04 Oct 2023","26.50","3.64","1.00"
"NIFTY MIDCAP 150","03 Oct 2023","26.84","3.69","0.99"
"NIFTY MIDCAP 150","29 Sep 2023","26.77","3.68","0.99"
"NIFTY MIDCAP 150","28 Sep 2023","25.82","3.73","1.00"
"NIFTY MIDCAP 150","27 Sep 2023","26.12","3.77","0.99"
"NIFTY MIDCAP 150","26 Sep 2023","25.93","3.79","1.00"
"NIFTY MIDCAP 150","25 Sep 2023","25.94","3.80","1.00"
"NIFTY MIDCAP 150","22 Sep 2023","25.80","3.78","1.01"
"NIFTY MIDCAP 150","21 Sep 2023","25.83","3.78","1.00"
"NIFTY MIDCAP 150","20 Sep 2023","26.06","3.81","0.99"
"NIFTY MIDCAP 150","18 Sep 2023","26.14","3.83","1.01"
