"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","30 Apr 2024","40537.2","40771.35","40311.35","40366.70"
"NIFTY MIDCAP 150","29 Apr 2024","40116.35","40387.3","40059.6","40352.10"
"NIFTY MIDCAP 150","26 Apr 2024","40111.2","40208.35","39902.85","39968.30"
"NIFTY MIDCAP 150","25 Apr 2024","39520.35","40059.2","39459.05","39989.25"
"NIFTY MIDCAP 150","24 Apr 2024","39585.25","39770.35","39498","39561.85"
"NIFTY MIDCAP 150","23 Apr 2024","39721.55","39853","39392.05","39446.60"
"NIFTY MIDCAP 150","22 Apr 2024","39712.25","39727.9","39458.6","39570.05"
"NIFTY MIDCAP 150","19 Apr 2024","38987.55","39501.9","38726.85","39357.85"
"NIFTY MIDCAP 150","18 Apr 2024","40094.95","40275.55","39244.5","39359.55"
"NIFTY MIDCAP 150","16 Apr 2024","39426.7","39900.2","39298.25","39712.75"
"NIFTY MIDCAP 150","15 Apr 2024","39232.9","40017","38876.9","39629.25"
"NIFTY MIDCAP 150","12 Apr 2024","40058.6","40437.75","39714.3","39756.00"
"NIFTY MIDCAP 150","10 Apr 2024","39785.70","40248.30","39785.70","40120.10"
"NIFTY MIDCAP 150","09 Apr 2024","40065.80","40092.65","39602.65","39693.45"
"NIFTY MIDCAP 150","08 Apr 2024","39649.20","40025.30","39637.45","39951.25"
"NIFTY MIDCAP 150","05 Apr 2024","39534.55","39581.35","39157.40","39451.55"
"NIFTY MIDCAP 150","04 Apr 2024","40023.80","40099.25","39270.70","39530.35"
"NIFTY MIDCAP 150","03 Apr 2024","39679.80","39826.05","39562.35","39704.55"
"NIFTY MIDCAP 150","02 Apr 2024","39503.50","39807.25","39405.70","39693.75"
"NIFTY MIDCAP 150","01 Apr 2024","39322.55","39557.30","39227.85","39489.70"
"NIFTY MIDCAP 150","28 Mar 2024","38803.30","39401.00","38803.30","39020.60"
"NIFTY MIDCAP 150","27 Mar 2024","38629.90","39050.75","38599.80","38690.15"
"NIFTY MIDCAP 150","26 Mar 2024","38096.45","38557.25","38058.90","38428.50"
"NIFTY MIDCAP 150","22 Mar 2024","38314.05","38618.05","38107.95","38411.55"
"NIFTY MIDCAP 150","21 Mar 2024","37984.05","38381.60","37961.40","38328.35"
"NIFTY MIDCAP 150","20 Mar 2024","37391.50","37670.30","37058.90","37630.70"
"NIFTY MIDCAP 150","19 Mar 2024","37592.40","37742.20","37053.85","37232.10"
"NIFTY MIDCAP 150","18 Mar 2024","37497.25","37935.60","37284.50","37825.40"
"NIFTY MIDCAP 150","15 Mar 2024","38042.80","38280.65","36854.95","37583.10"
"NIFTY MIDCAP 150","14 Mar 2024","37417.90","38272.90","37261.85","38159.95"
"NIFTY MIDCAP 150","13 Mar 2024","39628.60","39649.65","37209.95","37439.40"
"NIFTY MIDCAP 150","12 Mar 2024","39863.25","39990.70","39539.10","39599.25"
"NIFTY MIDCAP 150","11 Mar 2024","40251.40","40415.05","39761.90","39853.10"
"NIFTY MIDCAP 150","07 Mar 2024","40475.70","40681.85","40182.80","40301.80"
"NIFTY MIDCAP 150","06 Mar 2024","40558.70","40749.20","39747.40","40451.50"
"NIFTY MIDCAP 150","05 Mar 2024","40468.95","40702.40","40264.20","40646.10"
"NIFTY MIDCAP 150","04 Mar 2024","39927.05","40635.65","39895.55","40466.60"
"NIFTY MIDCAP 150","02 Mar 2024","39792.75","39880.05","39626.75","39753.55"
"NIFTY MIDCAP 150","01 Mar 2024","39059.05","39757.40","39050.10","39707.10"
