"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","10 May 2024","15059","15124.3","14825.1","15104.90"
"NIFTY SMALLCAP 250","09 May 2024","15444.1","15473.55","14977.25","15006.35"
"NIFTY SMALLCAP 250","08 May 2024","15314.6","15486.65","15218.5","15414.90"
"NIFTY SMALLCAP 250","07 May 2024","15650","15654.3","15236.7","15339.25"
"NIFTY SMALLCAP 250","06 May 2024","15893.6","15901.35","15541.7","15617.15"
"NIFTY SMALLCAP 250","03 May 2024","15939.4","15944.7","15684.45","15793.30"
"NIFTY SMALLCAP 250","02 May 2024","15891.25","15906.9","15819.55","15848.40"
"NIFTY SMALLCAP 250","30 Apr 2024","15908.25","15923.2","15822","15833.40"
"NIFTY SMALLCAP 250","29 Apr 2024","15918.75","15929.5","15804.8","15824.55"
"NIFTY SMALLCAP 250","26 Apr 2024","15809","15876.9","15763.1","15814.50"
"NIFTY SMALLCAP 250","25 Apr 2024","15635.55","15755.25","15614.1","15739.15"
"NIFTY SMALLCAP 250","24 Apr 2024","15584.7","15651.45","15571.75","15609.20"
"NIFTY SMALLCAP 250","23 Apr 2024","15437.7","15497.55","15411.85","15486.00"
"NIFTY SMALLCAP 250","22 Apr 2024","15282.5","15356.95","15254","15338.00"
"NIFTY SMALLCAP 250","19 Apr 2024","15026.7","15216.9","14860.6","15162.20"
"NIFTY SMALLCAP 250","18 Apr 2024","15271.7","15369.9","15149.8","15180.60"
"NIFTY SMALLCAP 250","16 Apr 2024","14995.9","15255.65","14971.05","15183.70"
"NIFTY SMALLCAP 250","15 Apr 2024","15006.15","15201.75","14792.1","15086.65"
"NIFTY SMALLCAP 250","12 Apr 2024","15381.2","15455.7","15302.95","15322.15"
"NIFTY SMALLCAP 250","10 Apr 2024","15349.40","15403.65","15264.90","15384.50"
"NIFTY SMALLCAP 250","09 Apr 2024","15376.55","15398.00","15215.25","15293.40"
"NIFTY SMALLCAP 250","08 Apr 2024","15354.60","15373.95","15267.00","15286.55"
"NIFTY SMALLCAP 250","05 Apr 2024","15169.60","15268.55","15121.50","15248.20"
"NIFTY SMALLCAP 250","04 Apr 2024","15189.95","15223.05","15086.60","15159.25"
"NIFTY SMALLCAP 250","03 Apr 2024","14916.75","15076.25","14893.20","15065.35"
"NIFTY SMALLCAP 250","02 Apr 2024","14823.45","14923.05","14775.35","14908.30"
"NIFTY SMALLCAP 250","01 Apr 2024","14458.45","14776.05","14456.55","14762.15"
"NIFTY SMALLCAP 250","28 Mar 2024","14377.90","14407.40","14313.65","14330.50"
"NIFTY SMALLCAP 250","27 Mar 2024","14218.95","14362.80","14213.65","14283.60"
"NIFTY SMALLCAP 250","26 Mar 2024","14166.80","14223.45","14045.10","14167.85"
"NIFTY SMALLCAP 250","22 Mar 2024","14049.80","14192.65","14024.75","14161.40"
"NIFTY SMALLCAP 250","21 Mar 2024","13868.45","14060.05","13867.80","14047.30"
"NIFTY SMALLCAP 250","20 Mar 2024","13764.15","13811.30","13558.70","13733.55"
"NIFTY SMALLCAP 250","19 Mar 2024","13887.75","13916.25","13700.40","13718.40"
"NIFTY SMALLCAP 250","18 Mar 2024","13931.05","14010.90","13807.95","13882.25"
"NIFTY SMALLCAP 250","15 Mar 2024","13886.70","14015.30","13687.10","13922.35"
"NIFTY SMALLCAP 250","14 Mar 2024","13380.50","13905.50","13284.30","13892.70"
"NIFTY SMALLCAP 250","13 Mar 2024","14220.80","14274.75","13412.20","13473.20"
"NIFTY SMALLCAP 250","12 Mar 2024","14522.90","14525.95","14152.30","14208.65"
"NIFTY SMALLCAP 250","11 Mar 2024","14863.45","14873.00","14481.60","14507.15"
"NIFTY SMALLCAP 250","07 Mar 2024","14725.50","14828.65","14705.20","14803.20"
"NIFTY SMALLCAP 250","06 Mar 2024","14944.85","14945.30","14521.25","14684.20"
"NIFTY SMALLCAP 250","05 Mar 2024","15070.80","15089.05","14964.45","14979.60"
"NIFTY SMALLCAP 250","04 Mar 2024","15212.15","15235.05","15056.35","15077.10"
"NIFTY SMALLCAP 250","02 Mar 2024","15119.80","15191.20","15116.45","15168.15"
"NIFTY SMALLCAP 250","01 Mar 2024","15057.55","15104.20","15028.95","15061.35"
"NIFTY SMALLCAP 250","29 Feb 2024","14888.35","15015.20","14691.45","14965.05"
"NIFTY SMALLCAP 250","28 Feb 2024","15233.55","15249.65","14842.20","14895.25"
"NIFTY SMALLCAP 250","27 Feb 2024","15183.30","15239.60","15136.45","15181.95"
"NIFTY SMALLCAP 250","26 Feb 2024","15213.20","15243.50","15126.55","15143.40"
"NIFTY SMALLCAP 250","23 Feb 2024","15168.10","15197.80","15106.00","15169.50"
"NIFTY SMALLCAP 250","22 Feb 2024","15067.80","15095.55","14849.00","15083.55"
"NIFTY SMALLCAP 250","21 Feb 2024","15164.45","15199.05","14960.50","14992.15"
"NIFTY SMALLCAP 250","20 Feb 2024","15224.90","15256.85","15087.30","15110.70"
"NIFTY SMALLCAP 250","19 Feb 2024","15188.70","15220.10","15151.40","15171.00"
