"Index Name","Date","Open","High","Low","Close"
"NIFTY200 MOMENTUM 30","02 Mar 2024","30654.9","30757.7","30526.75","30678.50"
"NIFTY200 MOMENTUM 30","01 Mar 2024","30127.8","30522.45","30119","30489.20"
"NIFTY200 MOMENTUM 30","29 Feb 2024","29848.7","30121.35","29550","29990.80"
"NIFTY200 MOMENTUM 30","28 Feb 2024","30308","30376.45","29709.05","29850.65"
"NIFTY200 MOMENTUM 30","27 Feb 2024","30252.2","30424.5","30106.6","30256.95"
"NIFTY200 MOMENTUM 30","26 Feb 2024","30324.1","30408.45","30153.95","30274.75"
"NIFTY200 MOMENTUM 30","23 Feb 2024","30306.45","30433.05","30207.3","30328.65"
"NIFTY200 MOMENTUM 30","22 Feb 2024","29995.5","30287.6","29616.25","30231.30"
"NIFTY200 MOMENTUM 30","21 Feb 2024","30336.65","30376.4","29727.95","29829.25"
"NIFTY200 MOMENTUM 30","20 Feb 2024","30421.3","30454.1","30118.5","30238.65"
"NIFTY200 MOMENTUM 30","19 Feb 2024","30680.75","30776.9","30362.5","30396.55"
"NIFTY200 MOMENTUM 30","16 Feb 2024","30361.95","30592.05","30312.15","30515.20"
"NIFTY200 MOMENTUM 30","15 Feb 2024","30033.55","30194.55","29917.65","30171.15"
"NIFTY200 MOMENTUM 30","14 Feb 2024","29157.75","29928.6","29016.35","29832.50"
"NIFTY200 MOMENTUM 30","13 Feb 2024","29228.85","29453.4","28973.15","29398.55"
"NIFTY200 MOMENTUM 30","12 Feb 2024","29808.6","29822.95","29016.95","29121.00"
"NIFTY200 MOMENTUM 30","09 Feb 2024","30144.4","30188.25","29145.9","29718.90"
"NIFTY200 MOMENTUM 30","08 Feb 2024","30172.7","30285.5","29950.3","30103.05"
"NIFTY200 MOMENTUM 30","07 Feb 2024","29704.25","29966.25","29407.9","29913.15"
"NIFTY200 MOMENTUM 30","06 Feb 2024","29438","29563.95","29234.95","29551.25"
"NIFTY200 MOMENTUM 30","05 Feb 2024","29389.75","29678.55","29157.4","29305.90"
"NIFTY200 MOMENTUM 30","02 Feb 2024","29012.8","29375.15","29003.25","29173.95"
"NIFTY200 MOMENTUM 30","01 Feb 2024","29199.5","29226.9","28678.35","28845.15"
"NIFTY200 MOMENTUM 30","31 Jan 2024","28712.7","29073.25","28676.4","29048.50"
"NIFTY200 MOMENTUM 30","30 Jan 2024","29063.25","29127.2","28706.4","28745.85"
"NIFTY200 MOMENTUM 30","29 Jan 2024","28412.6","28984.75","28341.25","28944.70"
"NIFTY200 MOMENTUM 30","25 Jan 2024","28355.95","28359.25","28053.1","28298.10"
"NIFTY200 MOMENTUM 30","24 Jan 2024","27576.35","28185.2","27236.75","28153.00"
"NIFTY200 MOMENTUM 30","23 Jan 2024","28475.3","28480.65","27317.1","27495.15"
"NIFTY200 MOMENTUM 30","20 Jan 2024","28409.8","28441.2","28225.7","28244.40"
"NIFTY200 MOMENTUM 30","19 Jan 2024","27962.8","28282.85","27913.65","28256.30"
"NIFTY200 MOMENTUM 30","18 Jan 2024","27701.75","27791.95","27038.45","27739.10"
"NIFTY200 MOMENTUM 30","17 Jan 2024","27776.15","28014.6","27633.85","27716.70"
"NIFTY200 MOMENTUM 30","16 Jan 2024","28182.35","28228.65","27728.9","27975.40"
"NIFTY200 MOMENTUM 30","15 Jan 2024","28078.6","28170.1","27852.95","28136.00"
"NIFTY200 MOMENTUM 30","12 Jan 2024","27904.25","27938.25","27742.95","27881.35"
"NIFTY200 MOMENTUM 30","11 Jan 2024","27863.4","27946.85","27760.05","27816.95"
"NIFTY200 MOMENTUM 30","10 Jan 2024","27897.05","27903.5","27517.7","27821.45"
"NIFTY200 MOMENTUM 30","09 Jan 2024","28059.35","28088.6","27806.1","27850.40"
"NIFTY200 MOMENTUM 30","08 Jan 2024","28012.3","28012.3","27738.6","27765.90"
"NIFTY200 MOMENTUM 30","05 Jan 2024","28009.6","28073.3","27682.4","27870.10"
"NIFTY200 MOMENTUM 30","04 Jan 2024","27648.65","27883.85","27627.9","27831.10"
"NIFTY200 MOMENTUM 30","03 Jan 2024","27385","27602.2","27199.75","27514.70"
"NIFTY200 MOMENTUM 30","02 Jan 2024","27561.6","27572.6","27118.75","27402.50"
"NIFTY200 MOMENTUM 30","01 Jan 2024","27421.3","27623.8","27379.7","27435.95"
"NIFTY200 MOMENTUM 30","29 Dec 2023","27342.85","27388","27143.05","27352.70"
"NIFTY200 MOMENTUM 30","28 Dec 2023","27395.4","27434.25","27255.4","27284.30"
"NIFTY200 MOMENTUM 30","27 Dec 2023","27294.25","27427.95","27167.7","27287.35"
"NIFTY200 MOMENTUM 30","26 Dec 2023","26969.15","27240.2","26894.85","27186.35"
"NIFTY200 MOMENTUM 30","22 Dec 2023","26947.4","27000.1","26658.8","26881.30"
"NIFTY200 MOMENTUM 30","21 Dec 2023","26267.2","26843.1","26052.95","26791.10"
"NIFTY200 MOMENTUM 30","20 Dec 2023","27480.15","27517.65","26411.95","26509.90"
"NIFTY200 MOMENTUM 30","19 Dec 2023","27508.55","27530.75","27151.75","27352.80"
"NIFTY200 MOMENTUM 30","18 Dec 2023","27271.1","27467.15","27106.95","27395.25"
"NIFTY200 MOMENTUM 30","15 Dec 2023","27430.05","27447.95","27128.8","27210.95"
"NIFTY200 MOMENTUM 30","14 Dec 2023","27310.7","27361.75","27170.45","27307.35"
"NIFTY200 MOMENTUM 30","13 Dec 2023","26672.7","27166.35","26597.95","27134.70"
"NIFTY200 MOMENTUM 30","12 Dec 2023","26738.25","26744.15","26385.2","26567.95"
"NIFTY200 MOMENTUM 30","11 Dec 2023","26447.45","26653.05","26384.4","26632.90"
"NIFTY200 MOMENTUM 30","08 Dec 2023","26418.6","26558.45","26106.95","26365.30"
"NIFTY200 MOMENTUM 30","07 Dec 2023","26414.3","26417.35","26239.25","26323.80"
"NIFTY200 MOMENTUM 30","06 Dec 2023","26281.45","26430.85","26218.7","26345.85"
"NIFTY200 MOMENTUM 30","05 Dec 2023","26199.35","26297.15","25980.2","26220.45"
"NIFTY200 MOMENTUM 30","04 Dec 2023","26056.85","26134.25","25884.35","26102.50"
"NIFTY200 MOMENTUM 30","01 Dec 2023","25270.35","25648.85","25224.5","25611.95"
"NIFTY200 MOMENTUM 30","30 Nov 2023","24806.2","25125.15","24761.05","25061.65"
"NIFTY200 MOMENTUM 30","29 Nov 2023","24706.3","24802.3","24631.75","24781.75"
"NIFTY200 MOMENTUM 30","28 Nov 2023","24502.15","24614.55","24365.85","24579.40"
"NIFTY200 MOMENTUM 30","24 Nov 2023","24446.2","24492.05","24385.85","24406.60"
"NIFTY200 MOMENTUM 30","23 Nov 2023","24385.65","24458.9","24363.4","24417.75"
"NIFTY200 MOMENTUM 30","22 Nov 2023","24378.9","24396.25","24182.85","24299.90"
"NIFTY200 MOMENTUM 30","21 Nov 2023","24453.05","24506.85","24284.9","24337.50"
"NIFTY200 MOMENTUM 30","20 Nov 2023","24337.2","24414.55","24291.55","24366.55"
"NIFTY200 MOMENTUM 30","17 Nov 2023","24087.95","24294.05","24027.6","24278.40"
"NIFTY200 MOMENTUM 30","16 Nov 2023","24107.75","24208","24037.85","24135.95"
"NIFTY200 MOMENTUM 30","15 Nov 2023","24099.85","24113","23939.05","24084.40"
"NIFTY200 MOMENTUM 30","13 Nov 2023","23752.1","23951.75","23648.65","23881.85"
"NIFTY200 MOMENTUM 30","12 Nov 2023","23822.6","23822.6","23769.15","23785.50"
"NIFTY200 MOMENTUM 30","10 Nov 2023","23499.85","23651.45","23389.8","23623.45"
"NIFTY200 MOMENTUM 30","09 Nov 2023","23487.75","23567.35","23424.95","23514.95"
"NIFTY200 MOMENTUM 30","08 Nov 2023","23267.35","23435.55","23233.15","23423.15"
"NIFTY200 MOMENTUM 30","07 Nov 2023","23015.1","23210.45","22903","23160.20"
"NIFTY200 MOMENTUM 30","06 Nov 2023","22917.2","23014.95","22862.1","22998.60"
"NIFTY200 MOMENTUM 30","03 Nov 2023","22801.75","22856.2","22708.35","22831.95"
"NIFTY200 MOMENTUM 30","02 Nov 2023","22461.55","22687.4","22442.95","22665.45"
