Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2021,13672.7,13789.25,13668.3,13751.8,92595071,7568.68
04-JAN-2021,13826.65,14012.3,13772.05,13994.85,158999610,12128.58
05-JAN-2021,13947.9,14147.05,13887.45,14120.9,139196834,13467.06
06-JAN-2021,14160.85,14215.45,13914.75,14065.9,133632908,13349.54
07-JAN-2021,14168.8,14228.05,14126.9,14148.95,152363922,12854.59
08-JAN-2021,14258.75,14417.6,14232.25,14396.4,162026238,13693
11-JAN-2021,14474.35,14578.9,14362.3,14554.8,173417169,15057.17
12-JAN-2021,14555.6,14624.85,14465.55,14490.35,143782083,13278.25
13-JAN-2021,14567.8,14596.25,14272.1,14468.6,162608737,14592.84
14-JAN-2021,14458.4,14458.4,14274.95,14395.1,196312071,16339.77
15-JAN-2021,14420.6,14464.7,14069.95,14142,167718628,14947.11
18-JAN-2021,14148.95,14157.05,13778.65,13851.15,150962411,13205.02
19-JAN-2021,13939.7,14107.6,13929.2,14080.75,143523201,13307.1
20-JAN-2021,14133.15,14340.55,14126.85,14324.7,164572817,13374.62
21-JAN-2021,14442.1,14487.15,14176.7,14255.75,213289720,18755.54
22-JAN-2021,14280.6,14349.15,13996.2,14036.95,241629381,16597.99
25-JAN-2021,14160.2,14220.6,13801.15,13932.3,196035198,15165.75
27-JAN-2021,13950.9,13950.9,13643.25,13679.2,170313958,13462.3
28-JAN-2021,13537.05,13684.3,13506.2,13597.5,152492656,13100.24
29-JAN-2021,13721.05,13741.85,13156.5,13206.2,183054800,16291.44
01-FEB-2021,13269.25,13661.5,13088.45,13609.3,166112337,14437.17
02-FEB-2021,13769.15,13927.65,13696.85,13899.55,167503588,15567.53
03-FEB-2021,14007.2,14214.6,13914.85,14083.6,172259833,16076.35
04-FEB-2021,14123.25,14286.8,14070.85,14249.25,205904247,15841.94
05-FEB-2021,14344.35,14347.15,14134.65,14284.05,181885101,16130.22
08-FEB-2021,14405.9,14620.8,14397.05,14590.2,164587068,15294.04
09-FEB-2021,14642.55,14719.65,14445.6,14512.5,188480429,17034.91
10-FEB-2021,14581.8,14664.5,14443.9,14626.1,190563227,16932.88
11-FEB-2021,14613.9,14727.25,14590.2,14715.4,115895021,10462.88
12-FEB-2021,14759.4,14793.8,14616.75,14693.2,129402336,11317.7
15-FEB-2021,14763.65,14927.65,14715.95,14895,138825344,13387.06
16-FEB-2021,14932.2,15028.05,14827.05,14922.65,180810496,15678.82
17-FEB-2021,14901.3,14950.55,14749.7,14801.95,122106222,11832.55
18-FEB-2021,14832.2,14897.05,14766.65,14805.95,117981206,12264.01
19-FEB-2021,14786.65,14789.8,14402.4,14542,144079844,13237.09
22-FEB-2021,14560.15,14618.2,14304.35,14364.9,152559117,13460.29
23-FEB-2021,14442.65,14502.15,14273.05,14456.05,161125945,13956.5
24-FEB-2021,14553.55,14571.5,14369.55,14491.6,102509827,8822.28
25-FEB-2021,14596,14721.85,14592.05,14671.35,133952554,12553.2
26-FEB-2021,14490.3,14642.95,14193.45,14255.15,170893877,17001.23
01-MAR-2021,14367.3,14512.45,14344.2,14476.1,111017052,9677.3
02-MAR-2021,14580.9,14785.8,14558.15,14749.2,113705273,11178.45
03-MAR-2021,14882.75,15029.5,14836.25,15009.35,134992671,12044.79
04-MAR-2021,14833.4,15045.7,14800.85,14925.05,128777162,11878.89
05-MAR-2021,14852.6,14891.9,14567.4,14633.85,154350903,11871.26
08-MAR-2021,14727.3,14777.9,14623.4,14639.45,90202045,7953.16
09-MAR-2021,14729,14755,14480.6,14597.2,106061558,9265.48
10-MAR-2021,14719.6,14825.25,14674.05,14802.6,118697977,10484.2
12-MAR-2021,14897.65,14954.95,14674,14724.7,113837001,10695.3
15-MAR-2021,14781.6,14785.75,14492.6,14696.35,96754880,9204.09
16-MAR-2021,14771.25,14791.25,14675.95,14750.6,100286940,10257.92
17-MAR-2021,14760.65,14773.05,14472.8,14502,87236357,8176.32
18-MAR-2021,14622.5,14642,14130.95,14245.6,108429251,10712.67
19-MAR-2021,14163.5,14506.2,13903.95,14476.55,161915764,15441.8
22-MAR-2021,14499.65,14761.65,14421.45,14720.55,114170707,10442.75
23-MAR-2021,14767.15,14918,14751.3,14834.6,120619036,11598.34
24-MAR-2021,14758.3,14873,14599.15,14626.7,123924034,11921.78
25-MAR-2021,14667.65,14672.25,14295.75,14371.5,149239110,13250.63
26-MAR-2021,14511.25,14699.15,14464.4,14608.6,137910293,12214.49
30-MAR-2021,14761,14944.2,14746.4,14914.4,158128789,14551.49
31-MAR-2021,14939.1,15003.9,14891.3,14935.1,111379978,11096.91
01-APR-2021,15037.65,15295.5,15021.9,15265.7,157616021,13499.77
05-APR-2021,15306.75,15348.35,15013.55,15225.1,172012365,15884.94
06-APR-2021,15323.25,15532.5,15200.45,15512.2,153335845,14331.21
