"Index Name","Date","Open","High","Low","Close"
"NIFTY500 VALUE 50","02 Mar 2024","-","-","-","13042.08"
"NIFTY500 VALUE 50","01 Mar 2024","-","-","-","12950.78"
"NIFTY500 VALUE 50","29 Feb 2024","-","-","-","12625.95"
"NIFTY500 VALUE 50","28 Feb 2024","-","-","-","12557.91"
"NIFTY500 VALUE 50","27 Feb 2024","-","-","-","12829.52"
"NIFTY500 VALUE 50","26 Feb 2024","-","-","-","12877.56"
"NIFTY500 VALUE 50","23 Feb 2024","-","-","-","12926.92"
"NIFTY500 VALUE 50","22 Feb 2024","-","-","-","12998.35"
"NIFTY500 VALUE 50","21 Feb 2024","-","-","-","12907.33"
"NIFTY500 VALUE 50","20 Feb 2024","-","-","-","13081.25"
"NIFTY500 VALUE 50","19 Feb 2024","-","-","-","13048.45"
"NIFTY500 VALUE 50","16 Feb 2024","-","-","-","13024.42"
"NIFTY500 VALUE 50","15 Feb 2024","-","-","-","13046.40"
"NIFTY500 VALUE 50","14 Feb 2024","-","-","-","12756.22"
"NIFTY500 VALUE 50","13 Feb 2024","-","-","-","12384.69"
"NIFTY500 VALUE 50","12 Feb 2024","-","-","-","12355.49"
"NIFTY500 VALUE 50","09 Feb 2024","-","-","-","12854.60"
"NIFTY500 VALUE 50","08 Feb 2024","-","-","-","13044.00"
"NIFTY500 VALUE 50","07 Feb 2024","-","-","-","12977.02"
"NIFTY500 VALUE 50","06 Feb 2024","-","-","-","12954.25"
"NIFTY500 VALUE 50","05 Feb 2024","-","-","-","12760.34"
"NIFTY500 VALUE 50","02 Feb 2024","-","-","-","12622.82"
"NIFTY500 VALUE 50","01 Feb 2024","-","-","-","12278.59"
"NIFTY500 VALUE 50","31 Jan 2024","-","-","-","12254.01"
"NIFTY500 VALUE 50","30 Jan 2024","-","-","-","12091.46"
"NIFTY500 VALUE 50","29 Jan 2024","-","-","-","12096.65"
"NIFTY500 VALUE 50","25 Jan 2024","-","-","-","11753.21"
"NIFTY500 VALUE 50","24 Jan 2024","-","-","-","11707.84"
"NIFTY500 VALUE 50","23 Jan 2024","-","-","-","11365.18"
"NIFTY500 VALUE 50","20 Jan 2024","-","-","-","11836.95"
"NIFTY500 VALUE 50","19 Jan 2024","-","-","-","11723.74"
"NIFTY500 VALUE 50","18 Jan 2024","-","-","-","11496.89"
"NIFTY500 VALUE 50","17 Jan 2024","-","-","-","11532.91"
"NIFTY500 VALUE 50","16 Jan 2024","-","-","-","11738.58"
"NIFTY500 VALUE 50","15 Jan 2024","-","-","-","11682.07"
"NIFTY500 VALUE 50","12 Jan 2024","-","-","-","11569.03"
"NIFTY500 VALUE 50","11 Jan 2024","-","-","-","11470.74"
"NIFTY500 VALUE 50","10 Jan 2024","-","-","-","11378.93"
"NIFTY500 VALUE 50","09 Jan 2024","-","-","-","11424.08"
"NIFTY500 VALUE 50","08 Jan 2024","-","-","-","11398.34"
"NIFTY500 VALUE 50","05 Jan 2024","-","-","-","11522.58"
"NIFTY500 VALUE 50","04 Jan 2024","-","-","-","11540.30"
"NIFTY500 VALUE 50","03 Jan 2024","-","-","-","11445.22"
"NIFTY500 VALUE 50","02 Jan 2024","-","-","-","11473.96"
"NIFTY500 VALUE 50","01 Jan 2024","-","-","-","11457.93"
"NIFTY500 VALUE 50","29 Dec 2023","-","-","-","11364.37"
"NIFTY500 VALUE 50","28 Dec 2023","-","-","-","11411.27"
"NIFTY500 VALUE 50","27 Dec 2023","-","-","-","11176.81"
"NIFTY500 VALUE 50","26 Dec 2023","-","-","-","11137.80"
"NIFTY500 VALUE 50","22 Dec 2023","-","-","-","11003.11"
"NIFTY500 VALUE 50","21 Dec 2023","-","-","-","10949.60"
"NIFTY500 VALUE 50","20 Dec 2023","-","-","-","10723.29"
"NIFTY500 VALUE 50","19 Dec 2023","-","-","-","11190.34"
"NIFTY500 VALUE 50","18 Dec 2023","-","-","-","11157.38"
"NIFTY500 VALUE 50","15 Dec 2023","-","-","-","11155.33"
"NIFTY500 VALUE 50","14 Dec 2023","-","-","-","11026.24"
