Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2018,4729.05,4730.25,4680.1,4685.05,66884466,3140.57
02-JAN-2018,4703.15,4711.6,4665.5,4681.1,86061037,3806.73
03-JAN-2018,4704.5,4718.7,4684.45,4687.85,89236579,4041.27
04-JAN-2018,4698.9,4717.55,4680.5,4712.3,95787412,4200.74
05-JAN-2018,4718.45,4736.15,4707.8,4723.7,104798876,4599.43
08-JAN-2018,4741.75,4764.85,4738.7,4760.5,79615729,3667.53
09-JAN-2018,4774.25,4780.7,4755.1,4773.7,115016388,5268.82
10-JAN-2018,4778.5,4801.1,4757.45,4795.9,97847410,4746.74
11-JAN-2018,4795.85,4806.6,4780.85,4798.45,78263963,4237.49
12-JAN-2018,4817.15,4823.85,4775.95,4819.9,98643096,5187.29
15-JAN-2018,4830.85,4863.5,4819.65,4825.4,101786863,4839.64
16-JAN-2018,4832.5,4869.35,4827.5,4846.9,126656424,6666.86
17-JAN-2018,4855.8,4918.4,4851.35,4912.45,147599569,7683.32
18-JAN-2018,4952,4958.85,4882.7,4895.3,168011022,7582.5
19-JAN-2018,4905.3,4945.9,4878.95,4938.05,103043083,4893.74
22-JAN-2018,4943.25,5007.9,4922.9,5002.95,154329260,8468.73
23-JAN-2018,5016.85,5097.9,5016,5091.6,162016833,8394.53
24-JAN-2018,5079.15,5123.25,5065.95,5096,161053897,8615.28
25-JAN-2018,5103.55,5103.55,5043.95,5075.8,183037400,8887.22
29-JAN-2018,5070.55,5118.3,5066.25,5079.6,128472544,6483.35
30-JAN-2018,5072.05,5075.1,5039.1,5046.45,117561937,5863.18
31-JAN-2018,5025.35,5044,4999.05,5022.75,132776424,6911.22
01-FEB-2018,5016.05,5055.3,4948.25,4984,140190362,6958.96
02-FEB-2018,4939.9,4969.1,4867.05,4875.9,133370668,7087.37
05-FEB-2018,4813,4868.05,4802.05,4848.3,121584844,6112.18
06-FEB-2018,4674.75,4811.35,4671.1,4766.65,135563774,6730.35
07-FEB-2018,4815.4,4821.1,4755.45,4769.55,124808303,5887.17
08-FEB-2018,4794.55,4863.4,4774.85,4819.75,102525916,5200.87
09-FEB-2018,4751.4,4780.9,4736.25,4768.6,100500932,4930.12
12-FEB-2018,4795.5,4802.2,4768.75,4789.05,145084559,6180.02
14-FEB-2018,4804.3,4807.65,4724.45,4744.85,140344015,6503.56
15-FEB-2018,4760.65,4819.3,4753.45,4784.95,121016188,5598.7
16-FEB-2018,4809.55,4828.5,4726.7,4736,113754754,5156.73
19-FEB-2018,4759.95,4760.15,4662.3,4709.85,124473928,5437.86
20-FEB-2018,4701.6,4744.75,4699.8,4706.7,115250879,4963.69
21-FEB-2018,4743.85,4762.4,4702.5,4751.2,123426008,6148.13
22-FEB-2018,4728.4,4752.6,4720.35,4741.65,153768152,7575.49
23-FEB-2018,4750.1,4793.8,4744.6,4788.7,104717141,5775.63
26-FEB-2018,4804.65,4814.65,4789.4,4795.55,83711283,4169.99
27-FEB-2018,4807.45,4825.8,4779.25,4791.15,107005939,5064.97
28-FEB-2018,4752.65,4792.7,4740.75,4772.7,145406842,8263.47
01-MAR-2018,4766.6,4781.5,4739.7,4743.55,102600490,4841.67
05-MAR-2018,4730.6,4730.6,4676.95,4702.1,99811688,5041.58
06-MAR-2018,4733.8,4738.2,4636.5,4650.55,115574434,5503.03
07-MAR-2018,4646.75,4646.75,4587.55,4593.2,126543351,5445.7
08-MAR-2018,4624.5,4654.65,4592.15,4643.45,129685666,5393.73
09-MAR-2018,4658.35,4662.3,4615.55,4625.35,97785211,4616.82
12-MAR-2018,4657.15,4717.15,4651.55,4709.3,106664744,4950.94
13-MAR-2018,4684.2,4731.25,4675,4709.5,170026673,18052.63
14-MAR-2018,4694.05,4714.7,4669.15,4709.85,105108054,4947.96
15-MAR-2018,4707.35,4709.65,4659.75,4667.2,94974076,4459.89
16-MAR-2018,4655.4,4656.6,4585.9,4610.95,186197297,9573.09
19-MAR-2018,4612.4,4619.1,4541.55,4550.35,102750026,4957.17
20-MAR-2018,4531.75,4589.2,4530.3,4565,102705503,5370.67
21-MAR-2018,4591.5,4607.6,4552.3,4566.1,107374201,5437.96
22-MAR-2018,4562.9,4583.65,4530.05,4536.1,137719860,6062.16
23-MAR-2018,4462.85,4495.05,4458.25,4483.85,189244834,8575.95
26-MAR-2018,4486.1,4535.8,4462.7,4528,156794166,6586.59
27-MAR-2018,4562.35,4568.45,4536.35,4553.6,129601941,5427.11
28-MAR-2018,4532.5,4537.65,4509.45,4517.5,184222515,8753.35
02-APR-2018,4520.55,4523.95,4481.65,4512.25,,
03-APR-2018,4500.3,4543.3,4497.15,4536.25,122815244,5120.72
04-APR-2018,4547.45,4547.55,4479.5,4491.9,120232922,5337.79
05-APR-2018,4537.75,4594.6,4533.9,4589.6,112930328,4945.02
06-APR-2018,4589,4595.85,4563.65,4583.35,104793555,4282.62
09-APR-2018,4580.75,4606,4576.1,4596.1,118610190,4970.47
10-APR-2018,4608.15,4646.3,4605.8,4636.8,145577522,6286.57
11-APR-2018,4649.8,4649.8,4614.6,4639.85,135612815,6206.89
12-APR-2018,4640.85,4698.75,4634.3,4691.65,140291551,7134.11
13-APR-2018,4710.45,4720.95,4693.65,4702.65,127736034,7273.12
16-APR-2018,4637,4695.8,4635.8,4690.15,101585180,5928.64
17-APR-2018,4696.1,4704.1,4678.2,4697.85,98070621,4886.3
18-APR-2018,4709,4709,4674.4,4680.1,99043303,4527.41
19-APR-2018,4690.75,4698.15,4677.8,4692.85,125883495,6076.4
20-APR-2018,4698.75,4730.5,4696.1,4720.35,140351229,9432.11
23-APR-2018,4721.9,4774.1,4696.95,4732.7,108893995,7860.42
24-APR-2018,4728.4,4759.2,4725.3,4741.5,107576854,6299.17
25-APR-2018,4743.3,4759.9,4712.5,4734,102348697,5918.73
26-APR-2018,4742.1,4778.55,4729.8,4770.2,204261523,10792.06
27-APR-2018,4781.4,4837.95,4778.25,4815.65,219767171,10589.8
30-APR-2018,4811.05,4838.05,4805.35,4813.4,114259529,5779.25
02-MAY-2018,4821.55,4821.95,4747.05,4762.65,114459206,6506.85
03-MAY-2018,4765.8,4767.05,4734.5,4743.75,102624763,5514.26
