Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2020,5471.2,5483.55,5460.85,5478.45,188550491,3242.39
02-JAN-2020,5490.55,5496.9,5478.4,5491.25,235915037,4778.5
03-JAN-2020,5491.65,5528.25,5488.6,5507.95,263948802,6337.97
06-JAN-2020,5499.45,5505.4,5432.95,5444.5,226768318,4772.83
07-JAN-2020,5453.75,5485.9,5442.3,5446.95,249411803,5221.89
08-JAN-2020,5409.8,5444.05,5405.85,5437.8,267767781,6101.27
09-JAN-2020,5476.3,5484.9,5447.85,5460.45,276564930,5730.78
10-JAN-2020,5496.65,5515.4,5476.15,5488.1,433057565,5876.56
13-JAN-2020,5527.05,5568.25,5516.75,5565.1,341762075,7520.5
14-JAN-2020,5567.55,5606.8,5565.4,5602.95,456417157,6440.91
15-JAN-2020,5599.2,5611.8,5562.85,5605.95,509488078,5894.67
16-JAN-2020,5609.7,5616.05,5572.95,5595.2,242437734,4850.24
17-JAN-2020,5594.2,5609.85,5569.3,5584.85,232969032,4273.32
20-JAN-2020,5595.15,5610.3,5528.95,5534.4,270767248,5962.15
21-JAN-2020,5530.25,5538,5501.85,5506.3,216597694,4395.98
22-JAN-2020,5518.05,5520.65,5483.3,5493.8,338627767,6947.67
23-JAN-2020,5502.75,5540.7,5497.05,5530.5,676187601,10865.84
24-JAN-2020,5523.8,5563.5,5512.75,5554.55,424434796,5256.84
27-JAN-2020,5539.25,5539.9,5494.4,5501,251241326,4247.66
28-JAN-2020,5510.35,5510.4,5460.15,5478.65,257138327,5051.16
29-JAN-2020,5509.5,5532.2,5502.55,5512.5,293998730,5199.66
30-JAN-2020,5521.05,5521.65,5455.65,5463.7,318682668,5804.78
31-JAN-2020,5476.35,5481.3,5359.35,5371,459427079,8044.77
01-FEB-2020,5372.4,5393.55,5329.2,5355.65,304409563,6147.94
03-FEB-2020,5350.7,5424.8,5342.8,5372.3,327173034,7122.68
04-FEB-2020,5405.45,5451.85,5401.3,5445.85,299140126,6142.66
05-FEB-2020,5455.6,5483.05,5431.35,5477.3,478118990,7535.88
06-FEB-2020,5490.35,5529.9,5468.65,5481.1,303416939,6410.69
07-FEB-2020,5502.85,5521.9,5476.85,5517.15,285463342,5376.55
10-FEB-2020,5514.4,5518.75,5448.9,5458.15,357217861,6238.11
11-FEB-2020,5488.75,5507.1,5481.85,5485.65,290330031,5223.77
12-FEB-2020,5501,5562.05,5498.75,5547.3,239952281,5082.8
13-FEB-2020,5554.3,5572.05,5539.95,5567.35,328083995,5236.95
14-FEB-2020,5566.15,5601.05,5515.8,5524.15,367933518,5670.09
17-FEB-2020,5537.7,5541.25,5483.3,5492.2,278108051,4409.62
18-FEB-2020,5479.95,5511.3,5437.65,5500,439767837,6028.44
19-FEB-2020,5535.4,5560.5,5519.2,5546.45,268544935,4394.95
20-FEB-2020,5548.25,5558.2,5503.2,5511.45,279873883,5046.73
24-FEB-2020,5498.4,5498.4,5388.4,5399.9,257216008,5416.64
25-FEB-2020,5431.05,5460.8,5407.05,5415.05,238788121,5360.06
26-FEB-2020,5393.1,5415.5,5342.25,5355.6,310821850,5947.19
27-FEB-2020,5347,5349,5277.5,5317.2,348167408,5598.32
28-FEB-2020,5185.25,5195.65,5058.1,5071.4,431955098,8895.94
02-MAR-2020,5144.95,5185.4,4996.8,5037.45,340301897,6684.77
03-MAR-2020,5087.45,5163.3,5068.95,5149.75,379118956,6605.74
04-MAR-2020,5174.05,5205,5115.65,5189.7,419041557,6815.64
05-MAR-2020,5213.9,5287.95,5209.35,5216.55,953880344,8075.16
06-MAR-2020,5089.35,5124.25,5043.1,5082.85,1436458090,6828.15
09-MAR-2020,4971.1,4979.6,4803.35,4830.8,1137188733,10820.62
11-MAR-2020,4755.8,4847.35,4726.7,4805.4,786417934,10350.81
12-MAR-2020,4634.9,4643.75,4383.65,4410.6,763414162,10653.72
13-MAR-2020,4183.1,4585.1,3860.7,4489.85,717081914,10464.41
16-MAR-2020,4349.8,4388.6,4178.9,4195.55,490149874,8607.39
17-MAR-2020,4228.7,4355.2,4136.45,4162.15,519790985,8215.4
18-MAR-2020,4233.85,4270.55,3985.65,4038.3,928497806,11790.84
19-MAR-2020,3901.85,4085.05,3821.1,3986.45,429845212,8618.61
20-MAR-2020,4021.5,4387.95,4020.9,4327.25,549294855,10837.39
23-MAR-2020,3965.25,4042.55,3901.7,3918.4,301846643,6756.78
24-MAR-2020,3995.85,4166.6,3964.05,4043.5,294925510,7548.67
25-MAR-2020,4033.9,4176.8,3956.05,4116.95,273735119,6154.6
26-MAR-2020,4185.9,4313.15,4109.5,4263.75,337131943,7059.65
27-MAR-2020,4358.35,4389.5,4205.95,4281.5,283013079,6240.44
30-MAR-2020,4148.15,4318.85,4148.1,4205.05,232193813,6282.15
31-MAR-2020,4322.35,4432.9,4254.35,4402.5,331005601,6859.95
01-APR-2020,4382.55,4382.85,4192.6,4208.85,201439379,5431.22
03-APR-2020,4254.75,4284.9,4166.3,4203.1,300231173,7036.8
07-APR-2020,4358.65,4530.9,4345.95,4518.35,319689304,8321.19
08-APR-2020,4478.9,4636.75,4465.55,4493.5,325314927,9024.72
09-APR-2020,4601.1,4601.5,4525.05,4577.9,239142622,7189.72
13-APR-2020,4570.8,4580.4,4503.3,4530.8,235840027,5374.67
15-APR-2020,4610.6,4684,4579.5,4601.05,335107098,14089.74
16-APR-2020,4540.85,4613.45,4507.55,4561.65,302171302,8355.69
17-APR-2020,4704.2,4706.7,4584.1,4610.9,221238748,7302.36
20-APR-2020,4670.35,4670.8,4586.25,4596.6,246188797,6220.32
21-APR-2020,4484.5,4531.2,4466.45,4474.55,243063357,5924.51
22-APR-2020,4458.6,4553.05,4428.7,4542.5,300274840,6195.64
23-APR-2020,4565.6,4618.2,4542.65,4603.5,301867190,7855.58
