Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JAN-2022,8429.4,8535.6,8424.45,8524.3,581560883,5306.6
04-JAN-2022,8558.2,8583.35,8497,8559.15,486904117,6322.43
05-JAN-2022,8565.6,8588.05,8518.3,8570.8,437810495,6609.53
06-JAN-2022,8504.3,8606.35,8470,8596.2,480485673,6107.51
07-JAN-2022,8623.75,8674.4,8581.8,8647.1,447557274,7358.74
10-JAN-2022,8684.5,8732.85,8681.25,8726.2,428966428,6546.16
11-JAN-2022,8718.5,8773.05,8710.6,8735.6,2292113724,8792.25
12-JAN-2022,8781.4,8847.4,8754.6,8840.1,1052011515,7177.12
13-JAN-2022,8858.75,8905.3,8796.9,8897.05,461371163,6257.63
14-JAN-2022,8868.2,8921.95,8827.95,8889.55,359306801,7856.45
17-JAN-2022,8907.15,8927.9,8887.45,8900.9,359808186,6107.77
18-JAN-2022,8937.75,8946.65,8671.55,8697.9,393240209,6682.21
19-JAN-2022,8681.95,8690.85,8570.75,8679.5,421393298,6961.13
20-JAN-2022,8676.95,8712.85,8611.25,8655.15,308135077,5935.76
21-JAN-2022,8610.65,8625.9,8378.1,8436.8,386978631,7309.28
24-JAN-2022,8431.8,8439.95,8031.15,8104.6,610920224,8428.77
25-JAN-2022,8019.6,8223.5,7917.6,8213.45,680079267,8979.49
27-JAN-2022,8146.9,8163.55,8000.45,8144.7,666678821,9484.83
28-JAN-2022,8230.3,8423.8,8225.45,8257.45,630422173,9824.42
31-JAN-2022,8366.35,8415.3,8338.5,8395.4,510411331,7823.52
01-FEB-2022,8481.75,8485.55,8327.1,8472.3,599065264,9295.72
02-FEB-2022,8518,8595.25,8515.3,8569.4,691395836,7097.93
03-FEB-2022,8557.05,8561.45,8448.35,8469.9,429003757,6860.84
04-FEB-2022,8452.45,8492.55,8365.55,8382.45,550107568,7816.21
07-FEB-2022,8397.3,8436.65,8238.7,8288.5,392166160,6687.41
08-FEB-2022,8324.35,8352.7,8136.55,8237.2,447216748,8110.46
09-FEB-2022,8279.15,8374.2,8275.55,8364.6,363364098,6274.94
10-FEB-2022,8396.05,8422.8,8323.35,8392.85,484466130,7053.46
11-FEB-2022,8329.75,8343.95,8183.45,8202.1,359201080,6846.21
14-FEB-2022,8019.95,8054.55,7858.4,7880.25,495367861,7361.26
15-FEB-2022,7928.1,8134.6,7820,8124.1,524178192,7701.43
16-FEB-2022,8179.65,8198,8071.25,8097.7,468572994,6987.08
17-FEB-2022,8137.15,8165.25,8052.35,8069.45,334450015,5378.4
18-FEB-2022,8024.15,8092.3,7986.35,7996.95,343029536,4812.51
21-FEB-2022,7956.65,8015.3,7869.95,7932.6,672202180,6058.51
22-FEB-2022,7720.35,7881.85,7719.35,7868.2,471412140,6212.41
23-FEB-2022,7933.25,7977.1,7883.45,7894.25,370895208,5153.72
24-FEB-2022,7650.3,7715.45,7394.85,7407.65,915178846,10193.49
25-FEB-2022,7584.55,7751.55,7580.3,7735.95,599105435,8314.27
28-FEB-2022,7657.15,7822.1,7581.5,7810.45,580972523,7336.31
02-MAR-2022,7744.7,7827.1,7722.4,7793.25,449563009,6639.4
03-MAR-2022,7884,7895.35,7710.5,7731.05,598323480,6648.59
04-MAR-2022,7672.35,7676.3,7539.35,7552.25,773844485,8185.9
07-MAR-2022,7410.35,7416.3,7276.7,7386.35,620609982,7367.6
08-MAR-2022,7379.4,7517.35,7326.6,7503.6,493063403,7454.03
09-MAR-2022,7569.95,7699.35,7534.35,7671.7,463095299,7155.98
10-MAR-2022,7833.15,7839.1,7682.55,7724.45,473828930,8680.35
11-MAR-2022,7702.35,7788.15,7667.85,7778.25,377780748,5464.24
14-MAR-2022,7785.7,7824.2,7719.65,7806.1,352163700,6011.7
15-MAR-2022,7828.4,7873.25,7701.45,7740.1,474325866,6937.73
16-MAR-2022,7840.85,7903.9,7819.1,7897.1,306223863,6466.73
17-MAR-2022,7996.7,8035.1,7990.35,8008.95,356442505,8049.15
