Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2021,32608.95,32807.65,32554.35,32765.95,354161209,5571.06
04-JAN-2021,32998.95,33347.85,32805.3,33281.65,395945593,8039.85
05-JAN-2021,33219.8,33895.9,32986.15,33818.75,341021632,9986.69
06-JAN-2021,33951.2,34068.8,33376.25,33755.5,424441455,12100.69
07-JAN-2021,34074.5,34138.75,33826.3,33889.35,277306833,8992.83
08-JAN-2021,34124.1,34364.25,34075.2,34331.05,273434525,9889.38
11-JAN-2021,34566.95,34570.65,34143.6,34458.6,241771508,8572.4
12-JAN-2021,34462.85,34563.45,34299.05,34363.2,449979738,10289.42
13-JAN-2021,34543.05,34644.3,33756.8,34156,533212848,10834.66
14-JAN-2021,34264.55,34357.05,34018,34318.45,381119232,8268.04
15-JAN-2021,34432.6,34518.35,33606.35,33780.95,364155086,9069.77
18-JAN-2021,33748.8,33763.75,32870.05,33159.65,312904335,8065.98
19-JAN-2021,33369.85,33771.05,33359.2,33725.2,296694551,8218.34
20-JAN-2021,33809.25,33995.1,33755.45,33917.4,321365459,8068.62
21-JAN-2021,34165.5,34242.95,33451.15,33614.55,359570809,11807.01
22-JAN-2021,33683.05,33841.55,33231.05,33339.15,384401523,10841.09
25-JAN-2021,33618.05,33680.3,32636.75,33080.45,298626714,9537.41
27-JAN-2021,33113.9,33113.9,32511.8,32642.55,290461071,8772.53
28-JAN-2021,32367.65,32711.1,32205.85,32513.45,443586896,10277.83
29-JAN-2021,32784.4,32805.55,31638.15,31743.25,372481453,11418.4
01-FEB-2021,31992.75,32747.95,31647.65,32661.55,466000489,9890.67
02-FEB-2021,33001.1,33373.6,32809.45,33327.1,457052312,10657.05
03-FEB-2021,33502.25,33687.95,33231.75,33486.1,504652602,10204.31
04-FEB-2021,33606.1,34064.7,33477.75,34023.95,654375812,10007.69
05-FEB-2021,34265.9,34367.35,33728.8,33790.85,621172062,10650.47
08-FEB-2021,33994.05,34213.8,33980.8,34165.25,408766373,8747.8
09-FEB-2021,34303.9,34420.05,34017.8,34147.3,611939560,10876.22
10-FEB-2021,34226.75,34340.65,33928.65,34281.55,456225075,10880.98
11-FEB-2021,34261.15,34585.1,34235.65,34541.1,388250539,9679.77
12-FEB-2021,34653.7,34748.6,34448.35,34626.75,471052153,12199.12
15-FEB-2021,34816.95,35114.55,34790.45,34993.75,394651948,10534.82
16-FEB-2021,35109.1,35243.05,34849.15,35133.2,413545749,10688.12
17-FEB-2021,35179.95,35326.1,35039.1,35205.15,796407980,13602.28
18-FEB-2021,35364.95,35553.8,35248.3,35377.15,832159963,14441.42
19-FEB-2021,35406.95,35478.7,34558.75,34906.9,842325270,13255.95
22-FEB-2021,34938.25,35024.55,34192.15,34340.75,449764500,8903.27
23-FEB-2021,34520.95,34716.9,34311.7,34581.3,465676999,10069.07
