Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JAN-2022,9894.5,9982.3,9893.55,9966.35,384566230,7526.71
04-JAN-2022,10033.15,10048.85,9947.65,10018.45,680295949,9556.24
05-JAN-2022,10020.1,10048.25,9960.75,10024.3,495928914,8403.2
06-JAN-2022,9964.5,10045.6,9919.25,10034.95,614395518,8604.34
07-JAN-2022,10079.4,10137.9,10013.4,10076.6,621635496,10174.12
10-JAN-2022,10155.7,10228.9,10148.75,10218.3,626862793,10190.31
11-JAN-2022,10255.5,10295.95,10199.65,10228.8,853740343,11300.57
12-JAN-2022,10298.8,10325.6,10250.5,10292.35,773053415,9572.33
13-JAN-2022,10327.05,10364.6,10265.5,10352.6,649566378,9855.1
14-JAN-2022,10348.85,10436.3,10311.05,10424,616240500,10297.33
17-JAN-2022,10465.05,10499.65,10428.2,10471.85,698439532,10087.95
18-JAN-2022,10513.75,10524.55,10234.45,10257.8,804566901,10796.59
19-JAN-2022,10240.05,10290.75,10142.85,10281.15,651296974,9257.24
20-JAN-2022,10283.4,10358.1,10241.45,10269.25,525551006,8976.15
21-JAN-2022,10217.75,10266.6,10007.35,10076.85,533335044,9391.82
24-JAN-2022,10058,10071,9522.1,9611.5,499424116,8931.26
25-JAN-2022,9505.65,9756.8,9332.8,9713.45,540623170,8458.47
27-JAN-2022,9632.15,9735.9,9577.75,9668.55,533231105,8581.26
28-JAN-2022,9752.9,9878.25,9708.3,9719.7,549261204,8006.64
31-JAN-2022,9838.65,9879,9769.8,9813.1,430397260,7002.8
01-FEB-2022,9900.7,9922.35,9753.45,9886.6,675323820,7930.19
02-FEB-2022,9967.25,10062.6,9966.05,10051.3,465323049,7852.46
03-FEB-2022,10096.05,10104.7,10033.85,10050.15,462919140,8188.65
04-FEB-2022,10073.05,10094.8,9978.05,9991.3,356510934,7256.18
07-FEB-2022,10026.15,10044.65,9862.6,9882.3,405789154,7449.88
08-FEB-2022,9920.75,9957.25,9648.55,9732.9,424715764,6894.55
09-FEB-2022,9796.4,9823.8,9718.15,9766.05,386752217,7464.41
10-FEB-2022,9799,9804.1,9707.1,9781.05,436312305,6778.16
11-FEB-2022,9702.35,9739.2,9582.7,9596.15,374292652,6444.19
14-FEB-2022,9361.4,9412.65,9166.3,9187.6,415813451,6972.02
15-FEB-2022,9211.35,9384.8,9057.55,9370.05,482772240,6761.61
16-FEB-2022,9470.4,9523.35,9417.35,9440.8,361062963,6155.06
17-FEB-2022,9490,9507.5,9358.4,9370.3,258295701,4901.44
18-FEB-2022,9336.55,9390.5,9279.2,9293.55,258840627,4416.09
21-FEB-2022,9234.3,9244.4,9037.9,9052.95,452854874,6603.79
22-FEB-2022,8784.4,8917,8773.4,8877.55,469364296,7205.06
23-FEB-2022,8961.55,9066.4,8960.1,8982.9,329202540,5282.78
24-FEB-2022,8659.45,8747.85,8428.3,8454.95,512114423,8483.4
25-FEB-2022,8645.25,8839.1,8643.85,8815.2,442611918,6499.37
28-FEB-2022,8744,8898.75,8620.25,8887.65,413769059,6152.08
02-MAR-2022,8823.95,8964.75,8811.55,8911.1,337138732,5789.61
03-MAR-2022,9026.05,9078.05,8929.3,8945.3,334948655,6037.6
04-MAR-2022,8892.25,8921.5,8785.25,8804.1,346238773,6108.75
07-MAR-2022,8634.15,8651.35,8526.3,8599.35,340973152,6047.72
08-MAR-2022,8621.45,8745.15,8566.1,8717.05,349061305,6189.28
09-MAR-2022,8812.4,8921.05,8786.3,8899.85,396044760,6603.38
10-MAR-2022,9104.75,9121.05,8982,9025.4,375575438,8830.3
11-MAR-2022,9033.95,9142.65,9005,9105.9,389429845,11250.83
14-MAR-2022,9142.25,9165.65,9062,9143.55,333426411,9725.3
15-MAR-2022,9197.45,9220.3,9034.95,9067.95,406093495,8880.81
16-MAR-2022,9182.3,9206.85,9139.25,9168.55,304460029,7002.98
17-MAR-2022,9282.8,9300.4,9262,9276.95,475699953,11956.07
21-MAR-2022,9340.8,9372.55,9283.4,9301.5,393783504,9466.17
22-MAR-2022,9339.75,9344,9265.35,9330.35,396678344,8154.3
23-MAR-2022,9401.75,9426.2,9300.65,9316.45,360556764,7177.55
24-MAR-2022,9306.55,9365.55,9298.15,9347.7,409615735,6594.68
25-MAR-2022,9408.75,9425.4,9299.6,9311.1,398880255,7989.35
28-MAR-2022,9362.2,9371.6,9212.95,9256.45,459000275,9960.72
29-MAR-2022,9304.1,9335.05,9277.7,9312.05,564406188,9416.17
30-MAR-2022,9391.4,9439.75,9377.6,9396.5,475563904,7835.26
31-MAR-2022,9439.2,9485.95,9424.85,9441.45,408856236,8302.16
01-APR-2022,9468.75,9626.4,9462,9620.15,466997458,8786.83
04-APR-2022,9689,9772.4,9686.95,9766.85,546420103,9474.52
05-APR-2022,9836.2,9905.15,9806.25,9860.05,551022361,10671.89
06-APR-2022,9849.2,9945.45,9825,9902,575255940,10104.76
07-APR-2022,9937.85,9995.85,9831.05,9859.2,885379613,11372.9
08-APR-2022,9927.25,9966.95,9891.3,9934.75,634698018,9856.95
11-APR-2022,9972.75,10017.25,9952,9966.55,520954964,8948.73
12-APR-2022,9972.5,9972.5,9747.15,9825.2,525359480,9825.3
13-APR-2022,9901.75,9934.75,9849.25,9857.95,446186819,9148.75
18-APR-2022,9812.6,9812.6,9712.4,9770.8,472755142,8827.63
19-APR-2022,9834.9,9883.85,9533.65,9620.7,631641515,9925.04
20-APR-2022,9678.5,9755.85,9608.2,9622.75,461457678,7782.08
21-APR-2022,9709.95,9765.35,9709.4,9744.85,433315260,8335.47
22-APR-2022,9710.1,9810.4,9691.85,9720.3,573007199,9996.21
25-APR-2022,9649.45,9653.1,9511.4,9526.05,448733950,7791.01
26-APR-2022,9623.75,9660.85,9583.95,9623.75,384918032,7249.89
27-APR-2022,9559.85,9600.1,9477.35,9568.55,503118530,7802.88
28-APR-2022,9643.05,9658.95,9514.95,9593.75,628400004,8449.03
29-APR-2022,9645.65,9667.4,9471.55,9493.3,536942936,8690.09
02-MAY-2022,9413.15,9436.5,9337.05,9397.75,396033702,6695.19
04-MAY-2022,9442.4,9477.85,9150.55,9183.4,430674791,6809.38
05-MAY-2022,9287.7,9302.35,9114.55,9126.7,350076927,6215.85
06-MAY-2022,8957.9,8966.6,8852.4,8919.45,365521046,6626.68
09-MAY-2022,8858.3,8868.75,8700.3,8748.95,346197329,6294.14
10-MAY-2022,8732.9,8858.3,8546.9,8569.1,324255054,6634.83
11-MAY-2022,8603.95,8639.85,8188.3,8340.65,517406920,8548.14
12-MAY-2022,8255.9,8262.5,8128.3,8202.15,442090519,6828.64
13-MAY-2022,8329.1,8428.2,8266.9,8286.2,406893796,7069.61
16-MAY-2022,8356.75,8416.1,8250.3,8396.8,316063606,5517.39
17-MAY-2022,8470.7,8649.35,8435.4,8638.1,343944059,6076.87
18-MAY-2022,8693.3,8758.7,8623.4,8667.2,389235476,7391.53
19-MAY-2022,8457.95,8547.6,8416.3,8473.6,317621974,5533.85
20-MAY-2022,8598.8,8666.15,8574.6,8654.55,340404849,6766.56
23-MAY-2022,8697.65,8711.6,8581.6,8594.1,292873275,5485.68
24-MAY-2022,8627.95,8646.25,8473.05,8488.6,272356738,5302.4
25-MAY-2022,8523.2,8541.5,8227.1,8233.7,315510367,5604.53
26-MAY-2022,8267.85,8323.55,8065.95,8311.8,451294062,6215.07
27-MAY-2022,8399.9,8439.65,8344.35,8397.35,285611162,4777.04
30-MAY-2022,8503.35,8592.75,8483.7,8585.5,306697785,5453.08
31-MAY-2022,8596.7,8705.6,8565.25,8673.1,492689234,8529.09
